customer_state,order_count,item_merchandise_value_ex_freight,item_revenue_ex_freight,avg_item_merchandise_value_per_order,avg_item_revenue_per_order
SP,41746,5202955.049999969,5202955.049999969,124.63361878982343,124.63361878982343
RJ,12852,1824092.6700000004,1824092.6700000004,141.93064659197015,141.93064659197015
MG,11635,1585308.0300000012,1585308.0300000012,136.2533760206275,136.2533760206275
RS,5466,750304.0200000006,750304.0200000006,137.2674753018662,137.2674753018662
PR,5045,683083.7600000005,683083.7600000005,135.39816848364728,135.39816848364728
SC,3637,520553.3400000002,520553.3400000002,143.12712125378064,143.12712125378064
BA,3380,511349.9900000002,511349.9900000002,151.2869792899409,151.2869792899409
DF,2140,302603.9399999999,302603.9399999999,141.4037102803738,141.4037102803738
GO,2020,294591.94999999984,294591.94999999984,145.8375990099009,145.8375990099009
ES,2033,275037.3099999999,275037.3099999999,135.28642892277418,135.28642892277418
PE,1652,262788.0299999999,262788.0299999999,159.07265738498785,159.07265738498785
CE,1336,227254.7099999999,227254.7099999999,170.10083083832328,170.10083083832328
PA,975,178947.80999999997,178947.80999999997,183.53621538461536,183.53621538461536
MT,907,156453.52999999997,156453.52999999997,172.49562293274528,172.49562293274528
MA,747,119648.21999999999,119648.21999999999,160.17164658634536,160.17164658634536
MS,715,116812.63999999998,116812.63999999998,163.37432167832165,163.37432167832165
PB,536,115268.07999999999,115268.07999999999,215.05238805970146,215.05238805970146
PI,495,86914.08,86914.08,175.584,175.584
RN,485,83034.98,83034.98,171.2061443298969,171.2061443298969
AL,413,80314.81,80314.81,194.46685230024212,194.46685230024212
SE,350,58920.85,58920.85,168.34528571428572,168.34528571428572
TO,280,49621.740000000005,49621.740000000005,177.22050000000002,177.22050000000002
RO,253,46140.64,46140.64,182.37407114624506,182.37407114624506
AM,148,22356.84,22356.84,151.05972972972972,151.05972972972972
AC,81,15982.95,15982.95,197.32037037037037,197.32037037037037
AP,68,13474.3,13474.3,198.15147058823527,198.15147058823527
RR,46,7829.43,7829.43,170.205,170.205
